iteration,query,seconds
1,unqualified,0.008321
1,qualified,0.005739
1,ordered,0.007680
2,unqualified,0.003654
2,qualified,0.003976
2,ordered,0.005425
3,unqualified,0.003244
3,qualified,0.004566
3,ordered,0.005612
4,unqualified,0.004820
4,qualified,0.004778
4,ordered,0.004913
5,unqualified,0.004699
5,qualified,0.003220
5,ordered,0.006126
6,unqualified,0.003844
6,qualified,0.004673
6,ordered,0.009925
7,unqualified,0.003869
7,qualified,0.004164
7,ordered,0.006322
8,qualified,0.008614
8,unqualified,0.003593
8,ordered,0.006379
9,qualified,0.006148
9,unqualified,0.003385
9,ordered,0.006269
10,qualified,0.004122
10,unqualified,0.004078
10,ordered,0.006746
11,qualified,0.003840
11,unqualified,0.012331
11,ordered,0.004961
12,qualified,0.003155
12,unqualified,0.004078
12,ordered,0.007408
13,qualified,0.004001
13,unqualified,0.003549
13,ordered,0.007523
14,qualified,0.004303
14,unqualified,0.005916
14,ordered,0.013698
15,qualified,0.006592
15,unqualified,0.012996
15,ordered,0.005178
16,qualified,0.004519
16,unqualified,0.005003
16,ordered,0.007997
17,qualified,0.006996
17,unqualified,0.007007
17,ordered,0.006381
18,qualified,0.003868
18,unqualified,0.004062
18,ordered,0.008001
19,qualified,0.005643
19,unqualified,0.006874
19,ordered,0.008086
20,qualified,0.003005
20,unqualified,0.003997
20,ordered,0.005229
21,qualified,0.003524
21,unqualified,0.005056
21,ordered,0.005088
22,qualified,0.004795
22,unqualified,0.005292
22,ordered,0.006565
23,qualified,0.003421
23,unqualified,0.003215
23,ordered,0.006610
24,qualified,0.003478
24,unqualified,0.003994
24,ordered,0.006994
25,qualified,0.006343
25,unqualified,0.012523
25,ordered,0.004999
26,qualified,0.005004
26,unqualified,0.004526
26,ordered,0.007065
27,qualified,0.003684
27,unqualified,0.006008
27,ordered,0.004992
28,qualified,0.003932
28,unqualified,0.003531
28,ordered,0.005822
29,qualified,0.005401
29,unqualified,0.003439
29,ordered,0.005772
30,qualified,0.005001
30,unqualified,0.005437
30,ordered,0.005203
31,qualified,0.007076
31,unqualified,0.004556
31,ordered,0.003872
32,qualified,0.003451
32,unqualified,0.002914
32,ordered,0.004375
33,qualified,0.002649
33,unqualified,0.004423
33,ordered,0.004510
34,qualified,0.003203
34,unqualified,0.003498
34,ordered,0.003900
35,qualified,0.003613
35,unqualified,0.003322
35,ordered,0.004518
36,qualified,0.003004
36,unqualified,0.003598
36,ordered,0.004652
37,qualified,0.003476
37,unqualified,0.003999
37,ordered,0.003431
38,qualified,0.002999
38,unqualified,0.004131
38,ordered,0.003915
39,qualified,0.003883
39,unqualified,0.003528
39,ordered,0.005062
40,qualified,0.002523
40,unqualified,0.003427
40,ordered,0.015452
41,qualified,0.002916
41,unqualified,0.003986
41,ordered,0.003997
42,qualified,0.002668
42,unqualified,0.002822
42,ordered,0.004526
43,qualified,0.002992
43,unqualified,0.003689
43,ordered,0.004530
44,qualified,0.002917
44,unqualified,0.003322
44,ordered,0.004523
45,qualified,0.003000
45,unqualified,0.003003
45,ordered,0.004753
46,qualified,0.003858
46,unqualified,0.003567
46,ordered,0.003844
47,qualified,0.004004
47,unqualified,0.005386
47,ordered,0.004926
48,qualified,0.003247
48,unqualified,0.003004
48,ordered,0.005345
49,qualified,0.003523
49,unqualified,0.003007
49,ordered,0.004007
50,qualified,0.004985
50,unqualified,0.003004
50,ordered,0.003853
51,qualified,0.003255
51,unqualified,0.003208
51,ordered,0.004521
52,qualified,0.003404
52,unqualified,0.003023
52,ordered,0.004968
53,qualified,0.003709
53,unqualified,0.003337
53,ordered,0.004516
54,qualified,0.003005
54,unqualified,0.002703
54,ordered,0.004425
55,qualified,0.002831
55,unqualified,0.004243
55,ordered,0.004522
56,qualified,0.003294
56,unqualified,0.003472
56,ordered,0.005430
57,qualified,0.003199
57,unqualified,0.002522
57,ordered,0.005867
58,qualified,0.003060
58,unqualified,0.003064
58,ordered,0.005933
59,qualified,0.002530
59,unqualified,0.003990
59,ordered,0.003998
60,qualified,0.003005
60,unqualified,0.003007
60,ordered,0.004992
61,qualified,0.002002
61,unqualified,0.008705
61,ordered,0.005120
62,qualified,0.002528
62,unqualified,0.003767
62,ordered,0.006372
63,qualified,0.003731
63,unqualified,0.005253
63,ordered,0.005521
64,qualified,0.004002
64,unqualified,0.004797
64,ordered,0.007565
65,qualified,0.003176
65,unqualified,0.003535
65,ordered,0.005988
66,qualified,0.007220
66,unqualified,0.003007
66,ordered,0.004997
67,qualified,0.012549
67,unqualified,0.004017
67,ordered,0.004169
68,qualified,0.002419
68,unqualified,0.003329
68,ordered,0.004023
69,qualified,0.002814
69,unqualified,0.002518
69,ordered,0.003707
70,qualified,0.003692
70,unqualified,0.005256
70,ordered,0.005076
71,qualified,0.004125
71,unqualified,0.003519
71,ordered,0.005373
72,qualified,0.003587
72,unqualified,0.002520
72,ordered,0.004927
73,qualified,0.003342
73,unqualified,0.002778
73,ordered,0.004611
74,qualified,0.004120
74,unqualified,0.002705
74,ordered,0.004526
75,qualified,0.003431
75,unqualified,0.002953
75,ordered,0.004271
76,qualified,0.002517
76,unqualified,0.004001
76,ordered,0.005823
77,qualified,0.003005
77,unqualified,0.002995
77,ordered,0.004999
78,qualified,0.003568
78,unqualified,0.003739
78,ordered,0.004520
79,qualified,0.005389
79,unqualified,0.004017
79,ordered,0.003843
80,qualified,0.003223
80,unqualified,0.004437
80,ordered,0.005214
81,qualified,0.005819
81,unqualified,0.003670
81,ordered,0.005242
82,qualified,0.003580
82,unqualified,0.002686
82,ordered,0.005000
83,qualified,0.003221
83,unqualified,0.002972
83,ordered,0.004391
84,qualified,0.002979
84,unqualified,0.002379
84,ordered,0.004960
85,qualified,0.004011
85,unqualified,0.002539
85,ordered,0.005001
86,qualified,0.003309
86,unqualified,0.002521
86,ordered,0.004928
87,qualified,0.005651
87,unqualified,0.003216
87,ordered,0.005758
88,qualified,0.004938
88,unqualified,0.005114
88,ordered,0.005527
89,qualified,0.005981
89,unqualified,0.003357
89,ordered,0.005115
90,qualified,0.003526
90,unqualified,0.003004
90,ordered,0.004997
91,qualified,0.004026
91,unqualified,0.005381
91,ordered,0.007516
92,qualified,0.004465
92,unqualified,0.005115
92,ordered,0.005688
93,qualified,0.002535
93,unqualified,0.004588
93,ordered,0.006020
94,qualified,0.003643
94,unqualified,0.003841
94,ordered,0.006957
95,qualified,0.005334
95,unqualified,0.005320
95,ordered,0.006998
96,qualified,0.003541
96,unqualified,0.005018
96,ordered,0.006111
97,qualified,0.004604
97,unqualified,0.004935
97,ordered,0.005109
98,qualified,0.003741
98,unqualified,0.003779
98,ordered,0.005871
99,qualified,0.003994
99,unqualified,0.005038
99,ordered,0.006331
100,qualified,0.004689
100,unqualified,0.005705
100,ordered,0.005533
101,qualified,0.004497
101,unqualified,0.002526
101,ordered,0.006221
102,qualified,0.003863
102,unqualified,0.004055
102,ordered,0.005993
103,qualified,0.006355
103,unqualified,0.004623
103,ordered,0.006096
104,qualified,0.004102
104,unqualified,0.007256
104,ordered,0.005173
105,qualified,0.003688
105,unqualified,0.003550
105,ordered,0.005522
106,qualified,0.006001
106,unqualified,0.003224
106,ordered,0.008078
107,qualified,0.007017
107,unqualified,0.004981
107,ordered,0.004619
108,qualified,0.004536
108,unqualified,0.002985
108,ordered,0.004227
109,qualified,0.002718
109,unqualified,0.003255
109,ordered,0.005306
110,qualified,0.003165
110,unqualified,0.003336
110,ordered,0.003974
111,qualified,0.003760
111,unqualified,0.002654
111,ordered,0.004771
112,qualified,0.003047
112,unqualified,0.002999
112,ordered,0.004208
113,qualified,0.004064
113,unqualified,0.004341
113,ordered,0.004524
114,qualified,0.004527
114,unqualified,0.003258
114,ordered,0.004862
115,qualified,0.003599
115,unqualified,0.003570
115,ordered,0.004544
116,qualified,0.003001
116,unqualified,0.003002
116,ordered,0.004001
117,qualified,0.003826
117,unqualified,0.003821
117,ordered,0.005942
118,qualified,0.003339
118,unqualified,0.003598
118,ordered,0.004031
119,qualified,0.002942
119,unqualified,0.002789
119,ordered,0.004949
120,qualified,0.003832
120,unqualified,0.002521
120,ordered,0.004999
121,qualified,0.003165
121,unqualified,0.004474
121,ordered,0.004313
122,qualified,0.003965
122,unqualified,0.003098
122,ordered,0.004527
123,qualified,0.003420
123,unqualified,0.002928
123,ordered,0.004537
124,qualified,0.004531
124,unqualified,0.003519
124,ordered,0.005003
125,qualified,0.003004
125,unqualified,0.003991
125,ordered,0.004004
126,qualified,0.002995
126,unqualified,0.003003
126,ordered,0.006001
127,qualified,0.002560
127,unqualified,0.003219
127,ordered,0.004749
128,qualified,0.003270
128,unqualified,0.004022
128,ordered,0.004521
129,qualified,0.003193
129,unqualified,0.003485
129,ordered,0.003776
130,qualified,0.002997
130,unqualified,0.003355
130,ordered,0.004918
131,qualified,0.002212
131,unqualified,0.002991
131,ordered,0.005006
132,qualified,0.002995
132,unqualified,0.004003
132,ordered,0.004586
133,qualified,0.002518
133,unqualified,0.005311
133,ordered,0.004265
134,qualified,0.003708
134,unqualified,0.003520
134,ordered,0.005630
135,qualified,0.003036
135,unqualified,0.005425
135,ordered,0.005749
136,qualified,0.003659
136,unqualified,0.003799
136,ordered,0.004057
137,qualified,0.002641
137,unqualified,0.002576
137,ordered,0.004524
138,qualified,0.002995
138,unqualified,0.003002
138,ordered,0.005546
139,qualified,0.003022
139,unqualified,0.002972
139,ordered,0.006389
140,qualified,0.003340
140,unqualified,0.002541
140,ordered,0.006431
141,qualified,0.003758
141,unqualified,0.005169
141,ordered,0.004436
142,qualified,0.004891
142,unqualified,0.003307
142,ordered,0.004496
143,qualified,0.003352
143,unqualified,0.003757
143,ordered,0.004817
144,qualified,0.002981
144,unqualified,0.003006
144,ordered,0.005995
145,qualified,0.002998
145,unqualified,0.003000
145,ordered,0.004004
146,qualified,0.004030
146,unqualified,0.002048
146,ordered,0.004869
147,qualified,0.004431
147,unqualified,0.002523
147,ordered,0.004007
148,qualified,0.002996
148,unqualified,0.003000
148,ordered,0.004995
149,qualified,0.003004
149,unqualified,0.002995
149,ordered,0.004550
150,qualified,0.003518
150,unqualified,0.003963
150,ordered,0.005519
151,qualified,0.003004
151,unqualified,0.003999
151,ordered,0.004449
152,qualified,0.002305
152,unqualified,0.003516
152,ordered,0.004001
153,qualified,0.003972
153,unqualified,0.003048
153,ordered,0.004049
154,qualified,0.003000
154,unqualified,0.012363
154,ordered,0.004032
155,qualified,0.003756
155,unqualified,0.005139
155,ordered,0.004087
156,qualified,0.002691
156,unqualified,0.003522
156,ordered,0.004822
157,qualified,0.003507
157,unqualified,0.003382
157,ordered,0.006238
158,qualified,0.004088
158,unqualified,0.003003
158,ordered,0.005609
159,qualified,0.003302
159,unqualified,0.003188
159,ordered,0.004534
160,qualified,0.004521
160,unqualified,0.002943
160,ordered,0.004106
161,qualified,0.003483
161,unqualified,0.004100
161,ordered,0.005107
162,qualified,0.002520
162,unqualified,0.004005
162,ordered,0.003891
163,qualified,0.003039
163,unqualified,0.004825
163,ordered,0.005159
164,qualified,0.003993
164,unqualified,0.005712
164,ordered,0.005321
165,qualified,0.003527
165,unqualified,0.013030
165,ordered,0.004287
166,qualified,0.005688
166,unqualified,0.003885
166,ordered,0.006123
167,qualified,0.004524
167,unqualified,0.003997
167,ordered,0.007562
168,qualified,0.004042
168,unqualified,0.005002
168,ordered,0.006000
169,qualified,0.006471
169,unqualified,0.004376
169,ordered,0.005803
170,qualified,0.004168
170,unqualified,0.004923
170,ordered,0.006605
171,qualified,0.005920
171,unqualified,0.004289
171,ordered,0.006057
172,qualified,0.005020
172,unqualified,0.006602
172,ordered,0.005227
173,qualified,0.002521
173,unqualified,0.003259
173,ordered,0.005923
174,qualified,0.003173
174,unqualified,0.013067
174,ordered,0.005650
175,qualified,0.003780
175,unqualified,0.003528
175,ordered,0.006332
176,qualified,0.003469
176,unqualified,0.005093
176,ordered,0.005228
177,qualified,0.016920
177,unqualified,0.003833
177,ordered,0.005889
178,qualified,0.006142
178,unqualified,0.004528
178,ordered,0.006325
179,qualified,0.004622
179,unqualified,0.008151
179,ordered,0.005518
180,qualified,0.004999
180,unqualified,0.006005
180,ordered,0.012312
181,qualified,0.003790
181,unqualified,0.003824
181,ordered,0.014443
182,qualified,0.003534
182,unqualified,0.004176
182,ordered,0.012779
183,qualified,0.004318
183,unqualified,0.004359
183,ordered,0.014163
184,qualified,0.004595
184,unqualified,0.004353
184,ordered,0.010483
185,qualified,0.004293
185,unqualified,0.004845
185,ordered,0.004996
186,qualified,0.003531
186,unqualified,0.007521
186,ordered,0.005522
187,qualified,0.005123
187,unqualified,0.007966
187,ordered,0.006106
188,qualified,0.007122
188,unqualified,0.003523
188,ordered,0.004607
189,qualified,0.004330
189,unqualified,0.002998
189,ordered,0.004429
190,qualified,0.004243
190,unqualified,0.004188
190,ordered,0.003912
191,qualified,0.004958
191,unqualified,0.003105
191,ordered,0.004519
192,qualified,0.003052
192,unqualified,0.002660
192,ordered,0.004528
193,qualified,0.003000
193,unqualified,0.003390
193,ordered,0.004159
194,qualified,0.002754
194,unqualified,0.002979
194,ordered,0.004516
195,qualified,0.005200
195,unqualified,0.004313
195,ordered,0.004164
196,qualified,0.002743
196,unqualified,0.004284
196,ordered,0.004524
197,qualified,0.003003
197,unqualified,0.003996
197,ordered,0.004999
198,qualified,0.004002
198,unqualified,0.004561
198,ordered,0.004614
199,qualified,0.002442
199,unqualified,0.003096
199,ordered,0.004430
200,qualified,0.002522
200,unqualified,0.003004
200,ordered,0.005369
201,qualified,0.003402
201,unqualified,0.002667
201,ordered,0.004273
202,qualified,0.003727
202,unqualified,0.004072
202,ordered,0.003930
203,qualified,0.003528
203,unqualified,0.004689
203,ordered,0.004114
204,qualified,0.002527
204,unqualified,0.003516
204,ordered,0.005067
205,qualified,0.005124
205,unqualified,0.003510
205,ordered,0.005355
206,qualified,0.005863
206,unqualified,0.003809
206,ordered,0.003610
207,qualified,0.003233
207,unqualified,0.003358
207,ordered,0.004347
208,qualified,0.002584
208,unqualified,0.003044
208,ordered,0.005200
209,qualified,0.002822
209,unqualified,0.003176
209,ordered,0.004415
210,qualified,0.003488
210,unqualified,0.003107
210,ordered,0.004535
211,qualified,0.003695
211,unqualified,0.003002
211,ordered,0.014711
212,qualified,0.004514
212,unqualified,0.003608
212,ordered,0.004946
213,qualified,0.004364
213,unqualified,0.002997
213,ordered,0.004557
214,qualified,0.003134
214,unqualified,0.003097
214,ordered,0.004801
215,qualified,0.002802
215,unqualified,0.003584
215,ordered,0.004630
216,qualified,0.003247
216,unqualified,0.003023
216,ordered,0.005295
217,qualified,0.003850
217,unqualified,0.002619
217,ordered,0.004588
218,qualified,0.003028
218,unqualified,0.002823
218,ordered,0.004520
219,qualified,0.004003
219,unqualified,0.003529
219,ordered,0.004005
220,qualified,0.003562
220,unqualified,0.004658
220,ordered,0.004948
221,qualified,0.004173
221,unqualified,0.004239
221,ordered,0.005248
222,qualified,0.003805
222,unqualified,0.003518
222,ordered,0.004202
223,qualified,0.003729
223,unqualified,0.003565
223,ordered,0.004524
224,qualified,0.003008
224,unqualified,0.002992
224,ordered,0.004001
225,qualified,0.003901
225,unqualified,0.003661
225,ordered,0.004525
226,qualified,0.002996
226,unqualified,0.003001
226,ordered,0.004003
227,qualified,0.003472
227,unqualified,0.002950
227,ordered,0.004814
228,qualified,0.005068
228,unqualified,0.003710
228,ordered,0.003860
229,qualified,0.003644
229,unqualified,0.002633
229,ordered,0.004278
